team,pos,id,tour,prizeusd,start,startglicko2mu,startglicko2phi,startglicko2rating,end,endglicko2mu,endglicko2phi,endglicko2rating
orangeesports,1,mushi,WCG Asian Championship 2012,6000,08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
orangeesports,2,kyxy,WCG Asian Championship 2012,6000,08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
orangeesports,3,yamateh,WCG Asian Championship 2012,6000,08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
orangeesports,4,xtinct,WCG Asian Championship 2012,6000,08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
orangeesports,5,winter,WCG Asian Championship 2012,6000,08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
mithtrust,1,lakelz,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
mithtrust,2,tha,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
mithtrust,3,aabbaa,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
mithtrust,4,tnk,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
mithtrust,5,r5r5,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
ampmwonosobo,1,dx,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
ampmwonosobo,2,ttna,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
ampmwonosobo,3,bld,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
ampmwonosobo,4,cl,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
ampmwonosobo,5,dmy,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
mineski亿鼎博,1,owa,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
mineski亿鼎博,2,bimbo,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
mineski亿鼎博,3,jojero haslink,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
mineski亿鼎博,4,wootz,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
mineski亿鼎博,5,rr,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
veil,1,satanic haslink,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
veil,2,ghostscepter haslink,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
veil,3,eulsscepter haslink,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
veil,4,butterfly haslink,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
veil,5,divinerapier haslink,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
lof,1,sag,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
lof,2,ariuka,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
lof,3,storm haslink,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
lof,4,zoloo,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
lof,5,espada,WCG Asian Championship 2012,6000,08/09/2012,,,,09/09/2012,,,
teamempire,1,blowyourbrain,RaidCall Dota 2 League Season 1,10000,10/09/2012,,,,18/11/2012,,,
