,team,pos,id,tour,prizepool,place,prizeusd,start,startglicko2mu,startglicko2phi,startglicko2rating,end,endglicko2mu,endglicko2phi,endglicko2rating
0,orangeesports,1,mushi,WCG Asian Championship 2012,6000,1 ,"3,000 ",08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
1,orangeesports,2,kyxy,WCG Asian Championship 2012,6000,1 ,"3,000 ",08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
2,orangeesports,3,yamateh,WCG Asian Championship 2012,6000,1 ,"3,000 ",08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
3,orangeesports,4,xtinct,WCG Asian Championship 2012,6000,1 ,"3,000 ",08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
4,orangeesports,5,winter,WCG Asian Championship 2012,6000,1 ,"3,000 ",08/09/2012,1609.5680298284174,65.01467123730546,1447.0313517351535,09/09/2012,1609.5680298284174,65.84518577834335,1444.9550653825588
5,mithtrust,1,lakelz,WCG Asian Championship 2012,6000,2 ,"2,000 ",08/09/2012,,,,09/09/2012,,,
6,mithtrust,2,tha,WCG Asian Championship 2012,6000,2 ,"2,000 ",08/09/2012,,,,09/09/2012,,,
7,mithtrust,3,aabbaa,WCG Asian Championship 2012,6000,2 ,"2,000 ",08/09/2012,,,,09/09/2012,,,
8,mithtrust,4,tnk,WCG Asian Championship 2012,6000,2 ,"2,000 ",08/09/2012,,,,09/09/2012,,,
9,mithtrust,5,r5r5,WCG Asian Championship 2012,6000,2 ,"2,000 ",08/09/2012,,,,09/09/2012,,,
10,ampmwonosobo,1,dx,WCG Asian Championship 2012,6000,3 ,"1,000 ",08/09/2012,,,,09/09/2012,,,
11,ampmwonosobo,2,ttna,WCG Asian Championship 2012,6000,3 ,"1,000 ",08/09/2012,,,,09/09/2012,,,
12,ampmwonosobo,3,bld,WCG Asian Championship 2012,6000,3 ,"1,000 ",08/09/2012,,,,09/09/2012,,,
13,ampmwonosobo,4,cl,WCG Asian Championship 2012,6000,3 ,"1,000 ",08/09/2012,,,,09/09/2012,,,
14,ampmwonosobo,5,dmy,WCG Asian Championship 2012,6000,3 ,"1,000 ",08/09/2012,,,,09/09/2012,,,
15,mineski亿鼎博,1,owa,WCG Asian Championship 2012,6000,4 ,0 ,08/09/2012,,,,09/09/2012,,,
16,mineski亿鼎博,2,bimbo,WCG Asian Championship 2012,6000,4 ,0 ,08/09/2012,,,,09/09/2012,,,
17,mineski亿鼎博,3,jojero haslink,WCG Asian Championship 2012,6000,4 ,0 ,08/09/2012,,,,09/09/2012,,,
18,mineski亿鼎博,4,wootz,WCG Asian Championship 2012,6000,4 ,0 ,08/09/2012,,,,09/09/2012,,,
19,mineski亿鼎博,5,rr,WCG Asian Championship 2012,6000,4 ,0 ,08/09/2012,,,,09/09/2012,,,
20,veil,1,satanic haslink,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
21,veil,2,ghostscepter haslink,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
22,veil,3,eulsscepter haslink,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
23,veil,4,butterfly haslink,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
24,veil,5,divinerapier haslink,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
25,lof,1,sag,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
26,lof,2,ariuka,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
27,lof,3,storm haslink,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
28,lof,4,zoloo,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
29,lof,5,espada,WCG Asian Championship 2012,6000,5-6 ,0,08/09/2012,,,,09/09/2012,,,
30,teamempire,1,blowyourbrain,RaidCall Dota 2 League Season 1,10000,1 ,"5,000 ",10/09/2012,,,,18/11/2012,,,
31,teamempire,2,scandal,RaidCall Dota 2 League Season 1,10000,1 ,"5,000 ",10/09/2012,,,,18/11/2012,,,
32,teamempire,3,funn1k,RaidCall Dota 2 League Season 1,10000,1 ,"5,000 ",10/09/2012,,,,18/11/2012,,,
33,teamempire,4,goblak,RaidCall Dota 2 League Season 1,10000,1 ,"5,000 ",10/09/2012,,,,18/11/2012,,,
34,teamempire,5,silent,RaidCall Dota 2 League Season 1,10000,1 ,"5,000 ",10/09/2012,,,,18/11/2012,,,
35,pulseesports,1,wagamama,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
36,pulseesports,2,mini,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
37,pulseesports,3,reesion,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
38,pulseesports,4,pinoy,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
39,pulseesports,5,fishbone,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
40,evilgeniuses,1,fear,RaidCall Dota 2 League Season 1,10000,2 ,"3,000 ",10/09/2012,1739.8043989956795,58.25141209193399,1594.1758687658444,18/11/2012,1760.5933698074357,42.668357471212786,1653.9224761294033
41,evilgeniuses,2,jeyo,RaidCall Dota 2 League Season 1,10000,2 ,"3,000 ",10/09/2012,1739.8043989956795,58.25141209193399,1594.1758687658444,18/11/2012,1760.5933698074357,42.668357471212786,1653.9224761294033
42,evilgeniuses,3,demon,RaidCall Dota 2 League Season 1,10000,2 ,"3,000 ",10/09/2012,1739.8043989956795,58.25141209193399,1594.1758687658444,18/11/2012,1760.5933698074357,42.668357471212786,1653.9224761294033
43,evilgeniuses,4,maelk,RaidCall Dota 2 League Season 1,10000,2 ,"3,000 ",10/09/2012,1739.8043989956795,58.25141209193399,1594.1758687658444,18/11/2012,1760.5933698074357,42.668357471212786,1653.9224761294033
44,evilgeniuses,5,bdiz,RaidCall Dota 2 League Season 1,10000,2 ,"3,000 ",10/09/2012,1739.8043989956795,58.25141209193399,1594.1758687658444,18/11/2012,1760.5933698074357,42.668357471212786,1653.9224761294033
45,teamzero,1,black,RaidCall Dota 2 League Season 1,10000,4 ,0 ,10/09/2012,,,,18/11/2012,,,
46,teamzero,2,singsing,RaidCall Dota 2 League Season 1,10000,4 ,0 ,10/09/2012,,,,18/11/2012,,,
47,teamzero,3,sexybamboe,RaidCall Dota 2 League Season 1,10000,4 ,0 ,10/09/2012,,,,18/11/2012,,,
48,teamzero,4,kuroky,RaidCall Dota 2 League Season 1,10000,4 ,0 ,10/09/2012,,,,18/11/2012,,,
49,teamzero,5,alex,RaidCall Dota 2 League Season 1,10000,4 ,0 ,10/09/2012,,,,18/11/2012,,,
50,fnatic,1,era,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
51,fnatic,2,h4nn1,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
52,fnatic,3,trixi,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
53,fnatic,4,n0tail,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
54,fnatic,5,fly,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
55,wehazasian,1,unicornxoxo,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
56,wehazasian,2,fata,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
57,wehazasian,3,crydasia,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
58,wehazasian,4,rmc,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
59,wehazasian,5,hiphopnotpop,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
60,teamdignitas,1,aui_2000,RaidCall Dota 2 League Season 1,10000,3 ,"2,000 ",10/09/2012,,,,18/11/2012,,,
61,teamdignitas,2,fogged,RaidCall Dota 2 League Season 1,10000,3 ,"2,000 ",10/09/2012,,,,18/11/2012,,,
62,teamdignitas,3,sneyking,RaidCall Dota 2 League Season 1,10000,3 ,"2,000 ",10/09/2012,,,,18/11/2012,,,
63,teamdignitas,4,tidesoftime,RaidCall Dota 2 League Season 1,10000,3 ,"2,000 ",10/09/2012,,,,18/11/2012,,,
64,teamdignitas,5,waytosexy,RaidCall Dota 2 League Season 1,10000,3 ,"2,000 ",10/09/2012,,,,18/11/2012,,,
65,quanticgaming,1,korok,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
66,quanticgaming,2,brax,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
67,quanticgaming,3,universe,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
68,quanticgaming,4,1437,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
69,quanticgaming,5,paintitgold,RaidCall Dota 2 League Season 1,10000,5-8,0 ,10/09/2012,,,,18/11/2012,,,
70,natusvincere,1,xboct,StarLadder StarSeries Season 3,15000,1 ,"6,000 ",17/09/2012,1728.3839638941547,59.51263338234386,1579.602380438295,21/10/2012,1778.740306319934,48.36593006297135,1657.8254811625054
71,natusvincere,2,dendi,StarLadder StarSeries Season 3,15000,1 ,"6,000 ",17/09/2012,1728.3839638941547,59.51263338234386,1579.602380438295,21/10/2012,1778.740306319934,48.36593006297135,1657.8254811625054
72,natusvincere,3,lightofheaven,StarLadder StarSeries Season 3,15000,1 ,"6,000 ",17/09/2012,1728.3839638941547,59.51263338234386,1579.602380438295,21/10/2012,1778.740306319934,48.36593006297135,1657.8254811625054
73,natusvincere,4,puppey,StarLadder StarSeries Season 3,15000,1 ,"6,000 ",17/09/2012,1728.3839638941547,59.51263338234386,1579.602380438295,21/10/2012,1778.740306319934,48.36593006297135,1657.8254811625054
74,natusvincere,5,arsart,StarLadder StarSeries Season 3,15000,1 ,"6,000 ",17/09/2012,1728.3839638941547,59.51263338234386,1579.602380438295,21/10/2012,1778.740306319934,48.36593006297135,1657.8254811625054
75,thegdbteam,1,black,StarLadder StarSeries Season 3,15000,3 ,"2,500 ",17/09/2012,,,,21/10/2012,,,
76,thegdbteam,2,singsing,StarLadder StarSeries Season 3,15000,3 ,"2,500 ",17/09/2012,,,,21/10/2012,,,
77,thegdbteam,3,sexybamboe,StarLadder StarSeries Season 3,15000,3 ,"2,500 ",17/09/2012,,,,21/10/2012,,,
78,thegdbteam,4,kuroky,StarLadder StarSeries Season 3,15000,3 ,"2,500 ",17/09/2012,,,,21/10/2012,,,
79,thegdbteam,5,alex,StarLadder StarSeries Season 3,15000,3 ,"2,500 ",17/09/2012,,,,21/10/2012,,,
80,teamempire,1,blowyourbrain,StarLadder StarSeries Season 3,15000,2 ,"3,000 ",17/09/2012,,,,21/10/2012,,,
81,teamempire,2,scandal,StarLadder StarSeries Season 3,15000,2 ,"3,000 ",17/09/2012,,,,21/10/2012,,,
82,teamempire,3,funn1k,StarLadder StarSeries Season 3,15000,2 ,"3,000 ",17/09/2012,,,,21/10/2012,,,
83,teamempire,4,goblak,StarLadder StarSeries Season 3,15000,2 ,"3,000 ",17/09/2012,,,,21/10/2012,,,
84,teamempire,5,silent,StarLadder StarSeries Season 3,15000,2 ,"3,000 ",17/09/2012,,,,21/10/2012,,,
85,pulseesports,1,wagamama,StarLadder StarSeries Season 3,15000,4 ,"2,000 ",17/09/2012,,,,21/10/2012,,,
86,pulseesports,2,pinoy,StarLadder StarSeries Season 3,15000,4 ,"2,000 ",17/09/2012,,,,21/10/2012,,,
87,pulseesports,3,reesion,StarLadder StarSeries Season 3,15000,4 ,"2,000 ",17/09/2012,,,,21/10/2012,,,
88,pulseesports,4,mini,StarLadder StarSeries Season 3,15000,4 ,"2,000 ",17/09/2012,,,,21/10/2012,,,
89,pulseesports,5,fishbone,StarLadder StarSeries Season 3,15000,4 ,"2,000 ",17/09/2012,,,,21/10/2012,,,
90,virtuspro,1,illidan,StarLadder StarSeries Season 3,15000,5-7,500,17/09/2012,,,,21/10/2012,,,
91,virtuspro,2,crazy,StarLadder StarSeries Season 3,15000,5-7,500,17/09/2012,,,,21/10/2012,,,
92,virtuspro,3,ksi,StarLadder StarSeries Season 3,15000,5-7,500,17/09/2012,,,,21/10/2012,,,
93,virtuspro,4,ns,StarLadder StarSeries Season 3,15000,5-7,500,17/09/2012,,,,21/10/2012,,,
94,virtuspro,5,santa,StarLadder StarSeries Season 3,15000,5-7,500,17/09/2012,,,,21/10/2012,,,
95,meetyourmakers,1,balsam,StarLadder StarSeries Season 3,15000,5-7,500,17/09/2012,,,,21/10/2012,,,
96,meetyourmakers,2,calculus,StarLadder StarSeries Season 3,15000,5-7,500,17/09/2012,,,,21/10/2012,,,
97,meetyourmakers,3,quix,StarLadder StarSeries Season 3,15000,5-7,500,17/09/2012,,,,21/10/2012,,,
98,meetyourmakers,4,ryze,StarLadder StarSeries Season 3,15000,5-7,500,17/09/2012,,,,21/10/2012,,,
