effect ranking,facebook ranking,team,facebook,twitter,qq,weibo,vk,highest,estimated effect
1,34,faceless,69140,,,,,69140,5.81
2,40,teamspirit,9004,,,,35308,35308,4.87
3,35,mvphot6,25044,45500,,,,45500,4.323
4,19,og,130620,490000,,,121000,490000,4.122
5,25,orangeesports,227856,13900,,,,227856,3.886
6,23,ehome,29985,,179839,293136,,293136,3.749
7,38,teamadfinem,43528,,,,,43528,3.446
8,21,tncproteam,397134,36000,,,,397134,3.332
9,36,mvpphoenix,25044,45500,,,,45500,3.055
10,43,cdecyouth,2973,24436,,,,24436,3.045
11,30,vegasquadron,106739,39700,,,85978,106739,2.542
12,4,natusvincere,1818956,472000,14822,,564567,1818956,2.486
13,53,kaipi,,2519,,,,2519,2.477
14,48,_powerrangers,9850,10800,,,5780,10800,2.457
15,17,teamsecret,491497,306000,,,,491497,2.332
16,16,cloud9,598466,657000,,,,657000,2.183
17,2,invictusgaming,184349,66000,1065501,2544622,,2544622,1.981
18,45,zenith,20437,9847,,,,20437,1.821
19,20,evilgeniuses,401053,486000,17363,,,486000,1.783
20,31,thewingsgaming,46471,12900,,103528,,103528,1.651
21,47,teamnp,17000,18900,,,,18900,1.428
22,28,execration安博电竞,170491,16300,,,,170491,1.204
23,9,newbeeyoung,83285,22700,35416,960936,,960936,1.008
24,55,teambraveheart,,,,,,,0.938
25,18,virtuspro,490766,213000,,,221890,490766,0.767
26,11,lgdgaming,90192,98800,919455,703307,,919455,0.389
27,24,mousesports,283389,92900,,,,283389,0.256
28,14,teamempire,856011,240000,,,93953,856011,0.133
29,12,lgdforeveryoung,90192,98800,919455,703307,,919455,0.021
30,33,digitalchaos,85135,55500,,,,85135,-0.111
31,29,quanticgaming,113953,,,,,113953,-0.661
32,5,mineski亿鼎博,1587190,9082,,,,1587190,-0.888
33,50,cisgame,,,4079,,,4079,-0.962
34,13,alliance,858542,245000,,,13253,858542,-1.044
35,41,tongfu,18699,,27757,16495,,27757,-1.108
36,51,sigmaint,1304,3413,,,,3413,-1.236
37,10,newbee,83285,22700,35416,960936,,960936,-1.454
38,15,teamliquid,718725,349000,,,17165,718725,-1.474
39,37,warriorsgamingunity,44432,507,,,,44432,-1.653
40,49,hypergloryteam,4725,360,6915,,,6915,-1.81
41,42,tongfuwanzhou,18699,,27757,16495,,27757,-2.001
42,26,complexitygaming,192257,189000,,,,192257,-2.023
43,7,vicigaming,399265,121000,,1008417,,1008417,-2.363
44,44,cdecgaming,2973,24436,,,,24436,-2.373
45,3,igvitality,184349,66000,1065501,2544622,,2544622,-3.022
46,22,teamdignitas,391462,253000,,,,391462,-3.031
47,39,escapegaming,39320,5504,,,,39320,-3.044
48,56,ftdcluba,,,,,,,-3.568
49,6,ninjasinpyjamas,1108480,525000,,,,1108480,-3.583
50,57,weareyoung,,,,,,,-3.64
51,52,absolutelegends,,3087,,,,3087,-3.776
52,27,titan,174924,64700,,,,174924,-4.325
53,32,rave,101427,9277,,,,101427,-4.361
54,58,qpadredpandas,,,,,,,-4.45
55,54,4friendschrillee,191,15,,,,191,-4.64
56,1,fnatic,2619366,1150000,,,4,2619366,-4.968
57,8,vicigamingpotential,399265,121000,,1008417,,1008417,-5.512
58,46,firstdeparture,19985,2271,,,,19985,-8.419
