,entity,start,prizeusd,perf1,perf2,perf3,perf4,perf5
0,0,2013-06-28,0.0,1431.5142349943849,1415.703233117466,1391.4094247253877,1391.4094247253877,1391.4094247253877
1,0,2013-06-15,0.0,1427.2373189166858,1427.2373189166858,1427.2373189166858,1427.2373189166858,1427.2373189166858
2,0,2013-10-31,0.0,1449.4560461103713,1439.0954925353085,1449.4560461103713,1449.4560461103713,1479.4501985400348
3,0,2014-12-10,623.0,1426.782768642189,1481.501965954908,1426.782768642189,1497.3204695774348,1497.3204695774348
4,0,2013-10-21,836.28,1451.3362057809413,1451.3362057809413,1481.6027104912735,1451.3362057809413,1481.6027104912735
5,0,2014-04-03,0.0,1484.3023903266428,1429.583193013924,1429.583193013924,1429.583193013924,1482.1498783754043
6,0,2014-11-13,0.0,1482.832584254954,1498.651087877481,1428.1133869422351,1428.1133869422351,1498.651087877481
7,0,2014-01-04,0.0,1425.3610861648538,1425.3610861648538,1480.0802834775725,1425.3610861648538,1477.927771526334
8,0,2013-06-19,0.0,1402.9435105246075,1443.0483207936047,1402.9435105246075,1402.9435105246075,1402.9435105246075
9,0,2013-05-19,0.0,1427.4641941135355,1427.4641941135355,1427.4641941135355,1427.4641941135355,1427.4641941135355
10,0,2013-08-31,0.0,1416.6818438138002,1456.7866540827974,1416.6818438138002,1416.6818438138002,1440.9756522058785
11,0,2013-11-25,0.0,1470.6268766352218,1426.8835131785545,1426.8835131785545,1426.8835131785545,1416.5229596034917
12,0,2013-05-21,0.0,1440.6482480108605,1440.6482480108605,1440.6482480108605,1440.6482480108605,1440.6482480108605
13,0,2013-09-11,0.0,1462.493740098782,1502.5985503677791,1462.493740098782,1462.493740098782,1481.3303582106048
14,1,2014-11-09,0.0,1606.3989198889815,1577.936714114996,1580.7087265251953,1577.936714114996,1606.3989198889815
15,1,2015-01-29,15288.0,1548.487315307168,1590.0958070346985,1576.9495210811535,1575.3235856066249,1587.3237946244992
16,1,2014-02-09,0.0,1620.3196861801277,1584.635583012238,1620.3196861801277,1620.3196861801277,1718.6255605323508
17,1,2014-04-25,6784.0,1645.3785241108023,1743.6843984630254,1645.3785241108023,1645.3785241108023,1620.4373197712262
18,1,2015-02-23,0.0,1541.0524601855825,1479.3691442442116,1569.5146659595682,1567.8887304850393,1579.8889395029137
19,1,2014-09-25,0.0,1607.7951849800916,1610.5671973902909,1636.2573907540773,1607.7951849800916,1636.2573907540773
20,1,2015-01-21,0.0,1543.2399136682259,1587.191704406406,1570.0761839676827,1571.7021194422116,1511.6171081401637
21,1,2014-11-28,1600.0,1560.6798605960971,1486.8039993657972,1587.516130895554,1589.1420663700826,1577.3701134766927
22,1,2014-12-10,623.0,1563.1936039921293,1584.8484053957563,1591.655809766115,1582.076392985557,1590.029874291586
23,1,2014-03-28,5031.25,1639.291939340809,1624.1314168765402,1624.1314168765402,1624.1314168765402,1722.4372912287633
24,1,2013-10-21,2128.7,1496.6743103092629,1496.6743103092629,1496.6743103092629,1496.6743103092629,1594.980184661486
25,1,2014-04-03,0.0,1646.4767729971652,1661.637295461434,1646.4767729971652,1744.7826473493883,1646.4767729971652
26,1,2016-07-03,5000.0,1641.2201038668086,1729.402814189065,1572.5878096364038,1641.2201038668086,1565.107378373303
27,1,2014-02-04,1500.0,1582.967874710376,1635.4802086443965,1582.967874710376,1582.967874710376,1681.273749062599
28,1,2014-01-04,0.0,1547.2837715424862,1547.2837715424862,1547.2837715424862,1547.2837715424862,1645.5896458947093
29,1,2014-11-14,2163.0,1579.5626495895247,1582.3346619997242,1608.0248553635104,1661.6391408431225,1579.5626495895247
30,1,2013-11-25,0.0,1548.8962979736582,1548.8962979736582,1548.8962979736582,1647.2021723258813,1548.8962979736582
31,1,2013-11-16,3500.0,1493.5249254368364,1493.5249254368364,1493.5249254368364,1591.8307997890595,1493.5249254368364
32,1,2013-09-28,4000.0,1437.7344301656647,1437.7344301656647,1437.7344301656647,1536.0403045178878,1437.7344301656647
33,1,2014-05-31,5000.0,1643.1516463527473,1659.4104177033792,1643.1516463527473,1643.1516463527473,1741.4575207049706
34,1,2014-10-31,8302.0,1590.8392031756346,1593.6112155858339,1619.30140894962,1619.30140894962,1590.8392031756346
35,1,2014-08-11,7791.0,1634.5569004467302,1608.8667070829438,1634.5569004467302,1634.5569004467302,1611.8425738652088
36,2,2012-09-17,0.0,1417.4887036008622,1417.4887036008622,1417.4887036008622,1417.4887036008622,1417.4887036008622
37,3,2013-11-04,7500.0,1906.6782956843626,1906.6782956843626,1906.6782956843626,1906.6782956843626,1906.6782956843626
38,3,2014-03-03,74000.0,1824.3633409338504,1824.3633409338504,1824.3633409338504,1824.3633409338504,1824.3633409338504
39,3,2014-10-06,2778.0,1606.8519226608814,2103.6821310291484,1250.1329510130015,1636.577735878565,1606.1814303922451
40,3,2016-11-25,30000.0,1707.769268117223,1585.5379338896923,1582.169050146485,1641.094014646102,1659.7197794281433
41,3,2016-01-19,124154.15,1772.157055723234,1792.7337841262465,1732.2197553283027,1724.1075670341543,1765.8132340119837
42,3,2013-10-17,25000.0,1925.8446738513135,1925.8446738513135,1925.8446738513135,1925.8446738513135,1925.8446738513135
43,3,2014-02-09,12300.0,1876.3190059616031,1876.3190059616031,1876.3190059616031,1876.3190059616031,1876.3190059616031
44,3,2014-04-25,10175.0,1744.5621916022178,1744.5621916022178,1744.5621916022178,1744.5621916022178,1744.5621916022178
45,3,2015-02-23,0.0,1673.151063261338,1811.7571621429245,1751.968928682271,1651.21853079138,1666.8072415500878
46,3,2015-09-20,0.0,1772.2710908911395,1792.847819294152,1732.3337904962082,1765.9272691798892,1679.5827643506004
47,3,2014-01-07,2500.0,1907.6418988341138,1907.6418988341138,1907.6418988341138,1907.6418988341138,1907.6418988341138
48,3,2014-09-25,0.0,1661.0857746355068,1368.0318555385209,1674.402792593674,1674.402792593674,1660.4152823668705
49,3,2015-01-21,0.0,1595.584927172741,1734.1910260543275,1681.901087952821,1573.6523947027829,1589.2411054614906
50,3,2014-04-26,15300.0,1735.9568702788904,1735.9568702788904,1735.9568702788904,1735.9568702788904,1735.9568702788904
51,3,2013-03-14,2500.0,1721.0714177926616,1721.0714177926616,1721.0714177926616,1721.0714177926616,1721.0714177926616
52,3,2013-06-15,21663.6,1899.4454134235964,1899.4454134235964,1899.4454134235964,1899.4454134235964,1899.4454134235964
53,3,2016-10-11,7000.0,1727.8773165187158,1605.6459822911852,1602.2770985479776,1661.202063047595,1679.8278278296361
54,3,2016-05-09,20000.0,1764.8668702294367,1785.4435986324493,1724.9295698345054,1716.817381540357,1758.5230485181864
55,3,2014-06-28,21090.0,1727.40898058484,1727.40898058484,1727.40898058484,1727.40898058484,1727.40898058484
56,3,2015-06-20,14810.0,1695.6681748174763,1834.2742736990626,1655.730874422545,1673.7356423475183,1689.324353106226
57,3,2016-06-17,314545.04,1775.240570350053,1795.8172987530656,1735.303269955122,1727.1910816609734,1768.896748638803
58,3,2014-10-09,7051.0,1612.8067548401086,2109.6369632083756,1699.1229156201887,1692.9706568413885,1612.1362625714723
59,3,2017-02-11,2500.0,1707.9200084520303,1585.6886742244997,1582.3197904812923,1641.2447549809094,1659.8705197629506
60,3,2014-12-10,1558.0,1630.904406435951,1708.4483394626473,1649.5860042407219,1714.6005982414472,1563.4984188698106
61,3,2016-10-17,0.0,1716.861696195329,1594.6303619677983,1591.261478224591,1650.186442724208,1668.8122075062493
62,3,2013-10-21,15205.0,1924.0942244910507,1924.0942244910507,1924.0942244910507,1924.0942244910507,1924.0942244910507
63,3,2015-11-13,45000.0,1762.6500869305269,1783.2268153335394,1722.7127865355958,1669.9617603899878,1756.3062652192768
64,3,2013-03-16,40722.5,1769.1784185264175,1769.1784185264175,1769.1784185264175,1769.1784185264175,1769.1784185264175
65,3,2016-07-03,7500.0,1765.4229982314412,1785.9997266344537,1725.48569783651,1717.3735095423615,1759.079176520191
66,3,2014-04-01,0.0,1749.341087630919,1749.341087630919,1749.341087630919,1749.341087630919,1749.341087630919
67,3,2013-11-22,2739.0,1909.175944583108,1909.175944583108,1909.175944583108,1909.175944583108,1909.175944583108
68,3,2014-09-18,2000.0,1709.5768787004777,1722.3978740816874,1709.5768787004777,1703.4246199216777,1722.3978740816874
69,3,2016-11-10,4000.0,1709.9638413139942,1587.7325070864636,1584.363623343256,1643.2885878428733,1661.9143526249145
70,3,2013-05-20,0.0,1874.0953491299103,1874.0953491299103,1874.0953491299103,1874.0953491299103,1874.0953491299103
71,3,2013-09-02,4000.0,1913.1257536770663,1913.1257536770663,1913.1257536770663,1913.1257536770663,1913.1257536770663
72,3,2013-03-18,2000.0,1799.0767200903374,1799.0767200903374,1799.0767200903374,1799.0767200903374,1799.0767200903374
73,3,2013-06-19,0.0,1902.0563745250747,1902.0563745250747,1902.0563745250747,1902.0563745250747,1902.0563745250747
74,3,2015-05-03,7500.0,1698.2396728200536,1836.8457717016402,1658.3023724251225,1676.3071403500956,1691.8958511088033
75,3,2016-01-13,302227.4,1757.4016851255385,1777.978413528551,1717.4643847306074,1709.3521964364588,1751.0578634142882
76,3,2014-08-15,18718.0,1708.9063864318414,1722.1907789283698,1708.9063864318414,1702.7541276530415,1708.9063864318414
77,3,2015-03-09,6000.0,1721.838388347752,1860.4444872293384,1800.656253768685,1699.905855877794,1715.4945666365018
78,3,2013-05-19,12000.0,1827.8414558047523,1827.8414558047523,1827.8414558047523,1827.8414558047523,1827.8414558047523
79,3,2013-08-31,6000.0,1900.3954350619688,1900.3954350619688,1900.3954350619688,1900.3954350619688,1900.3954350619688
80,3,2013-11-25,31000.0,1898.7003464648117,1898.7003464648117,1898.7003464648117,1898.7003464648117,1898.7003464648117
81,3,2014-03-05,7500.0,1786.1022710665711,1786.1022710665711,1786.1022710665711,1786.1022710665711,1786.1022710665711
82,3,2016-04-14,5000.0,1767.2286259917887,1787.8053543948013,1727.2913255968576,1719.179137302709,1760.8848042805387
83,3,2017-05-18,5000.0,1705.828994486527,1583.5976602589965,1580.2287765157891,1639.1537410154062,1657.7795057974474
84,3,2013-05-21,0.0,1897.6331753483744,1897.6331753483744,1897.6331753483744,1897.6331753483744,1897.6331753483744
85,3,2015-09-07,11788.0,1723.59273297649,1744.1694613795025,1683.655432581559,1717.2489112652397,1685.4296850081428
86,3,2017-07-07,21250.0,2072.4032514472133,1581.849185292284,1578.4803015490763,1764.3696481910017,1637.4052660486936
87,3,2013-08-02,1437190.0,1901.7221501412882,1901.7221501412882,1901.7221501412882,1901.7221501412882,1901.7221501412882
