,entity,start,main,age,exp,perf
0,0,2012-09-08,2,21.782340862423,0,1445.8167554333095
1,0,2012-10-22,2,21.90280629705681,1,1493.4677025953984
2,0,2012-11-29,2,22.00684462696783,2,1492.0251054968287
3,0,2014-05-24,2,23.488021902806295,21,1499.8042881234187
4,0,2015-01-05,2,24.10677618069815,29,1498.1708474747595
5,0,2015-01-29,2,24.17248459958932,30,1496.089581416271
6,0,2015-03-09,2,24.279260780287473,31,1591.114315534362
7,0,2015-04-06,2,24.355920602327174,32,1607.9100977338367
8,0,2015-04-20,2,24.39425051334702,34,1635.1834672694495
9,0,2015-06-20,2,24.56125941136208,35,1633.483608492631
10,0,2015-07-27,2,24.66255989048597,36,1623.890347418293
11,0,2015-10-03,2,24.84873374401095,37,1658.1798496270003
12,0,2015-10-07,2,24.859685147159478,38,1689.6617559920487
13,0,2015-10-26,2,24.91170431211499,39,1684.0692650652304
14,0,2015-11-13,2,24.960985626283367,40,1681.396930464582
15,0,2015-12-17,2,25.05407255304586,41,1678.946661876115
16,0,2016-01-13,2,25.127994524298426,42,1676.586001383144
17,0,2016-02-25,2,25.245722108145106,43,1696.4027886912886
18,0,2016-05-09,2,25.44832306639288,44,1691.9197998274087
19,0,2016-06-03,2,25.516769336071185,45,1678.5636694072462
20,0,2016-06-17,2,25.555099247091032,46,1682.4864808841044
21,0,2016-07-13,2,25.626283367556468,47,1679.438470684305
22,0,2016-07-21,2,25.648186173853524,48,1669.2486640805241
23,0,2016-08-02,2,25.68104038329911,49,1684.868416631618
24,0,2016-09-09,2,25.78507871321013,50,1682.8223202412273
25,0,2016-11-10,2,25.95482546201232,51,1680.7256240680038
26,0,2017-01-06,2,26.11088295687885,52,1672.8707263090055
27,1,2012-09-08,1,21.28952772073922,0,1445.8167554333095
28,1,2012-11-29,1,21.51403148528405,1,1444.3741583347398
29,1,2012-12-22,1,21.57700205338809,2,1442.9955813577478
30,1,2013-12-23,1,22.579055441478438,13,1419.1074314342536
31,1,2013-12-27,1,22.590006844626966,14,1417.604739861797
32,1,2014-01-03,1,22.60917180013689,15,1416.1740696187558
33,1,2014-02-24,1,22.751540041067763,16,1436.3923592556825
34,1,2014-02-25,1,22.754277891854894,17,1415.9600440744407
